COMPANY,EMAIL,PHONE,ADDRESS
Delicious Delights,info@deliciousdelights.com,+445551234,"123 Yummy Street, Tastyville"
Cheesy Treats Emporium,info@cheesyemporium.com,+445555678,"456 Cheese Avenue, Flavor City"
Gourmet Goodies Ltd,enquiries@gourmetgoodies.com,+445559876,"789 Epicurean Lane, Culinary Town, CT12 3AB"
Sweet Sensations,sweets@sweet-sensations.co.uk,+445554321,"321 Dessert Drive, Sugartown"
Savory Selections,selections@savory.com,+445558765,"555 Savory Square, Flavorville"
Culinary Corner,info@culinarycorner.co.uk,+445552345,"789 Tasty Trail, Gastronomy Gardens"
The Food Fusion,fusion@foodfusion.com,+445556789,"101 Fusion Avenue, Flavor City"
Flavorful Finds,finds@flavorful.com,+445553456,"555 Epicure Expressway, Tasteland"
Tasty Temptations Ltd,temptations@tasty.com,+445557654,"987 Tempting Terrace, Culinary Town, CT12 3CD"
Gourmet Delights,delights@gourmetdelights.co.uk,+445552109,"555 Delight Drive, Flavorville"
Epicurean Eats,eats@epicurean.com,+445557890,"123 Epicurean Enclave, Tasteland"
Culinary Creations Ltd,creations@culinary.com,+445553210,"456 Creation Court, Culinary Town, CT12 3DE"
Sweets & Treats,sweets@sweetsandtreats.co.uk,+445556543,"555 Dessert Drive, Sugartown"
Flavor Fusion,fusion@flavorfusion.com,+445551098,"789 Fusion Street, Flavor City"
Tempting Tastes,tastes@tempting.com,+445554321,"555 Temptation Trail, Tasteland"
Gastronomic Goodies Ltd,goodies@gastronomic.com,+445558765,"987 Gastronomy Gardens, Culinary Town, CT12 3EF"
Dessert Delights,delights@dessertdelights.co.uk,+445552109,"555 Delight Drive, Sugartown"
Savory Sensations,sensations@savory.com,+445559876,"123 Savory Street, Flavorville"
The Culinary Corner,corner@culinarycorner.co.uk,+445556543,"456 Culinary Court, Culinary Town, CT12 3FG"
Tasty Treats Ltd,treats@tasty.com,+445553210,"555 Tasty Terrace, Tasteland"
Flavorful Foods,info@flavorfulfoods.co.uk,+445555432,"789 Flavorful Lane, Flavor City"
Epicurean Express,express@epicurean.com,+445558765,"555 Epicurean Enclave, Tasteland"
Culinary Creations,creations@culinarycreations.co.uk,+445554321,"123 Creation Court, Culinary Town, CT12 3GH"
Sweet & Savory,sweetandsavory@sweet.com,+445551098,"456 Sweet Street, Flavorville"
Gourmet Gourmet Ltd,gourmet@gourmetgourmet.com,+445557890,"555 Gourmet Gardens, Culinary Town, CT12 3HI"
Delicious Desserts,info@deliciousdesserts.co.uk,+445552109,"789 Dessert Drive, Sugartown"
Savory Snacks,snacks@savory.com,+445555432,"555 Savory Street, Flavorville"
The Tasty Terrace,terrace@tastyterrace.co.uk,+445553210,"123 Tasty Trail, Tasteland"
